lambda,Caso1_v,Caso2_v,Caso3_v,Caso4_v,Caso5_v,Caso6_v,Caso7_v,Caso8_v,Caso9_v
1.00,1.50,1.70,1.70,1.80,1.90,1.90,2.00,2.00,2.20
1.05,1.48,1.67,1.69,1.78,1.87,1.89,1.97,1.99,2.18
1.10,1.46,1.64,1.67,1.76,1.83,1.88,1.94,1.97,2.15
1.15,1.44,1.61,1.66,1.74,1.80,1.87,1.91,1.96,2.13
1.20,1.42,1.58,1.64,1.72,1.76,1.86,1.88,1.94,2.10
1.25,1.40,1.55,1.63,1.70,1.73,1.85,1.85,1.93,2.08
1.30,1.38,1.52,1.61,1.68,1.69,1.84,1.82,1.91,2.05
1.35,1.36,1.49,1.60,1.66,1.66,1.83,1.79,1.90,2.03
1.40,1.34,1.46,1.58,1.64,1.62,1.82,1.76,1.88,2.00
1.45,1.32,1.43,1.57,1.62,1.59,1.81,1.73,1.87,1.98
1.50,1.30,1.40,1.55,1.60,1.55,1.80,1.70,1.85,1.95
1.55,1.28,1.37,1.54,1.58,1.52,1.79,1.67,1.84,1.93
1.60,1.26,1.34,1.52,1.56,1.48,1.78,1.64,1.82,1.90
1.65,1.24,1.31,1.51,1.54,1.45,1.77,1.61,1.81,1.88
1.70,1.22,1.28,1.49,1.52,1.41,1.76,1.58,1.79,1.85
1.75,1.20,1.25,1.48,1.50,1.38,1.75,1.55,1.78,1.83
1.80,1.18,1.22,1.46,1.48,1.34,1.74,1.52,1.76,1.80
1.85,1.16,1.19,1.45,1.46,1.31,1.73,1.49,1.75,1.78
1.90,1.14,1.16,1.43,1.44,1.27,1.72,1.46,1.73,1.75
1.95,1.12,1.13,1.42,1.42,1.24,1.71,1.43,1.72,1.73
2.00,1.10,1.10,1.40,1.40,1.20,1.70,1.40,1.70,1.70
