lambda,Caso1_mu_x,Caso1_mu_y,Caso2_mu_x,Caso2_mu_y,Caso2_mu_y_linha,Caso3_mu_x,Caso3_mu_x_linha,Caso3_mu_y
1.00,4.41,4.41,3.07,3.94,8.52,3.94,8.52,3.07
1.05,4.8,4.45,3.42,3.78,8.79,4.19,8.91,2.84
1.10,5.18,4.49,3.77,3.9,9.18,4.43,9.3,2.76
1.15,5.56,4.49,4.14,3.97,9.53,4.64,9.63,2.68
1.20,5.9,4.48,4.51,4.05,9.88,4.85,9.95,2.59
1.25,6.27,4.45,4.88,4.1,10.16,5.03,10.22,2.51
1.30,6.6,4.42,5.25,4.15,10.41,5.2,10.48,2.42
1.35,6.93,4.37,5.6,4.18,10.64,5.36,10.71,2.34
1.40,7.25,4.33,5.95,4.21,10.86,5.51,10.92,2.25
1.45,7.55,4.3,6.27,4.19,11.05,5.64,11.1,2.19
1.50,7.86,4.25,6.6,4.18,11.23,5.77,11.27,2.12
1.55,8.12,4.2,6.9,4.17,11.39,5.87,11.42,2.04
1.60,8.34,3.14,7.21,4.14,11.55,5.98,11.55,1.95
1.65,8.62,4.07,7.42,4.12,11.67,6.07,11.67,1.87
1.70,8.86,4.0,7.62,4.09,11.79,6.16,11.8,1.79
1.75,9.06,3.96,7.66,4.05,11.88,6.24,11.92,1.74
1.80,9.27,3.91,7.69,3.99,11.96,6.31,12.04,1.68
1.85,9.45,3.83,8.22,3.97,12.03,6.38,12.14,1.64
1.90,9.63,3.75,8.74,3.94,12.14,6.43,12.24,1.59
1.95,9.77,3.71,8.97,3.88,12.17,6.47,12.29,1.54
2.00,10.0,3.64,9.18,3.8,12.2,6.51,12.34,1.48
inf,12.57,3.77,9.18,3.8,12.2,7.61,12.76,1.48
