lambda,Caso4_mu_x,Caso4_mu_x_linha,Caso4_mu_y,Caso4_mu_y_linha,Caso5_mu_x,Caso5_mu_y,Caso5_mu_y_linha,Caso6_mu_x,Caso6_mu_x_linha,Caso6_mu_y
1.00,2.81,6.99,2.81,6.99,2.15,3.17,6.99,3.17,6.99,2.15
1.05,3.05,7.43,2.81,7.18,2.47,3.32,7.43,3.29,7.2,2.07
1.10,3.3,7.87,2.81,7.36,2.78,3.47,7.87,3.42,7.41,1.99
1.15,3.53,8.28,2.8,7.5,3.08,3.58,8.26,3.52,7.56,1.89
1.20,3.76,8.69,2.79,7.63,3.38,3.7,8.65,3.63,7.7,1.8
1.25,3.96,9.03,2.74,7.72,3.79,3.8,9.03,3.71,7.82,1.74
1.30,4.16,9.37,2.69,7.81,4.15,3.9,9.33,3.79,7.93,1.67
1.35,4.33,9.65,2.65,7.88,4.5,3.96,9.69,3.84,8.02,1.59
1.40,4.51,9.93,2.6,7.94,4.85,4.03,10.0,3.9,8.11,1.52
1.45,4.66,10.41,2.54,8.0,5.19,4.09,10.25,3.94,8.13,1.45
1.50,4.81,10.62,2.47,8.06,5.53,4.14,10.49,3.99,8.15,1.38
1.55,4.93,10.82,2.39,8.09,5.86,4.16,10.7,4.03,8.2,1.34
1.60,5.06,10.99,2.31,8.12,6.18,4.17,10.91,4.06,8.25,1.28
1.65,5.16,11.16,2.24,8.14,6.48,4.14,11.08,4.09,8.28,1.23
1.70,5.27,11.3,2.16,8.15,6.81,4.12,11.24,4.12,8.3,1.18
1.75,5.36,11.43,2.11,8.16,7.11,4.12,11.39,4.14,8.31,1.15
1.80,5.45,11.55,2.04,8.17,7.41,4.1,11.43,4.15,8.32,1.11
1.85,5.53,11.57,1.99,8.17,7.68,4.08,11.65,4.16,8.33,1.08
1.90,5.6,11.67,1.93,8.18,7.95,4.04,11.77,4.17,8.33,1.04
1.95,5.67,11.78,1.91,8.19,8.21,3.99,11.83,4.17,8.33,1.01
2.00,5.74,11.89,1.88,8.2,8.47,3.92,11.88,4.18,8.33,0.97
inf,7.06,12.5,1.95,8.2,12.58,4.13,11.88,4.18,8.33,0.97
